challenge_id,challenge_family_id,label,language,source,data_origin,label_provenance,length_bucket,token_count,subject,body,original_text,content_hash,template_hash,ml_prediction,ml_confidence,class_probabilities_json,detected_language,security_finding_codes,security_finding_descriptions,risk_score,risk_level,recommended_action,prediction_correct,security_signal_present_on_ml_miss,ml_normal_with_promotional_signal,error_taxonomy
challenge_en_normal_04_short,en_normal_04,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,72,Project notes,"I added the approved edits to the shared document. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.","Project notes
I added the approved edits to the shared document. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.",cfee24be62ab871c408f0cca052618c65181c2f0f1f971303040fdacdc380210,cfee24be62ab871c408f0cca052618c65181c2f0f1f971303040fdacdc380210,normal,0.5432940551,"{""normal"": 0.5432940550945191, ""phishing"": 0.4566232990397579, ""spam"": 8.264586572282672e-05}",en,,,21,LOW,ALLOW,true,false,false,
challenge_en_normal_04_normal_length,en_normal_04,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,normal_length,177,Project notes,"I added the approved edits to the shared document. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.","Project notes
I added the approved edits to the shared document. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.",3350973a9a50b9193b5f1cf3a662e89a2291145db03a657d11b28a9e5ddebfd5,3350973a9a50b9193b5f1cf3a662e89a2291145db03a657d11b28a9e5ddebfd5,normal,0.5360644277,"{""normal"": 0.5360644277062112, ""phishing"": 0.4637265504943976, ""spam"": 0.00020902179939134957}",en,,,21,LOW,ALLOW,true,false,false,
challenge_en_normal_05_very_short,en_normal_05,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,9,Dinner plan,Dinner is confirmed for Saturday at seven.,"Dinner plan
Dinner is confirmed for Saturday at seven.",89b803c71d661dbb5e9bb1451101565c9a4e66f79a61349091f34ef30494edcf,89b803c71d661dbb5e9bb1451101565c9a4e66f79a61349091f34ef30494edcf,normal,0.9993092933,"{""normal"": 0.9993092932721761, ""phishing"": 0.0005880555892717204, ""spam"": 0.00010265113855217869}",en,,,0,LOW,ALLOW,true,false,false,
challenge_en_normal_05_short,en_normal_05,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,70,Dinner plan,"Dinner is confirmed for Saturday at seven. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.","Dinner plan
Dinner is confirmed for Saturday at seven. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. This message follows our existing conversation and does not request a password, payment, or account action.",78edb17268835dc932cb9a6c8702923d496b76db14b3deca29ee31db1361ebbe,78edb17268835dc932cb9a6c8702923d496b76db14b3deca29ee31db1361ebbe,normal,0.7505078325,"{""normal"": 0.750507832465156, ""phishing"": 0.24938475722126638, ""spam"": 0.00010741031357751872}",en,,,11,LOW,ALLOW,true,false,false,
challenge_en_normal_05_normal_length,en_normal_05,normal,en,controlled_short_form_challenge,synthetic_challenge,scenario_definition,normal_length,175,Dinner plan,"Dinner is confirmed for Saturday at seven. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.","Dinner plan
Dinner is confirmed for Saturday at seven. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action. Please read it when convenient and reply only if the schedule or factual details need correction. The referenced material remains in the usual shared location used by the team. No external sign-in page is needed, and there is no deadline beyond the ordinary project schedule. The sender is providing routine operational context so recipients can keep their records current. This message follows our existing conversation and does not request a password, payment, or account action.",ca8b6ad7a41bc60f52d66eb3746e77a08a24e846fe34a18524cd4ca60ec17801,ca8b6ad7a41bc60f52d66eb3746e77a08a24e846fe34a18524cd4ca60ec17801,normal,0.664334881,"{""normal"": 0.6643348810153078, ""phishing"": 0.3354459229818973, ""spam"": 0.00021919600279496958}",en,,,15,LOW,ALLOW,true,false,false,
challenge_vi_normal_01_very_short,vi_normal_01,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,13,Cập nhật lịch họp,Cuộc họp dự án chuyển sang 3 giờ chiều.,"Cập nhật lịch họp
Cuộc họp dự án chuyển sang 3 giờ chiều.",ca740deae91464e67b0e522f2beba18a5f6406298185e49b74884daa486a799e,ca740deae91464e67b0e522f2beba18a5f6406298185e49b74884daa486a799e,normal,0.9767844493,"{""normal"": 0.9767844493415633, ""phishing"": 0.023213430989786444, ""spam"": 2.119668650257265e-06}",vi,,,1,LOW,ALLOW,true,false,false,
challenge_vi_normal_01_short,vi_normal_01,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,73,Cập nhật lịch họp,"Cuộc họp dự án chuyển sang 3 giờ chiều. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm.","Cập nhật lịch họp
Cuộc họp dự án chuyển sang 3 giờ chiều. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm.",054162eb2486b36cbe410832380dade83efb1ca560865a38a58f997659780593,054162eb2486b36cbe410832380dade83efb1ca560865a38a58f997659780593,normal,0.7984109871,"{""normal"": 0.7984109870825497, ""phishing"": 0.20158815183305964, ""spam"": 8.610843906214236e-07}",vi,credential_request,Vietnamese credential or identity-verification language was detected.,21,LOW,REVIEW,true,false,false,
challenge_vi_normal_01_normal_length,vi_normal_01,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,normal_length,172,Cập nhật lịch họp,"Cuộc họp dự án chuyển sang 3 giờ chiều. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm. Không cần truy cập trang đăng nhập bên ngoài và không có hạn chót ngoài lịch dự án thông thường. Người gửi cung cấp thông tin vận hành định kỳ để người nhận cập nhật hồ sơ của mình. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm.","Cập nhật lịch họp
Cuộc họp dự án chuyển sang 3 giờ chiều. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm. Không cần truy cập trang đăng nhập bên ngoài và không có hạn chót ngoài lịch dự án thông thường. Người gửi cung cấp thông tin vận hành định kỳ để người nhận cập nhật hồ sơ của mình. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm.",0a4fe611e09f5d03ceb9a717ceca8f6519d3a6ac335bbeb006e546c47ef93786,0a4fe611e09f5d03ceb9a717ceca8f6519d3a6ac335bbeb006e546c47ef93786,normal,0.6134992596,"{""normal"": 0.6134992595555051, ""phishing"": 0.38649877970658825, ""spam"": 1.9607379065462026e-06}",vi,credential_request,Vietnamese credential or identity-verification language was detected.,29,LOW,REVIEW,true,false,false,
challenge_vi_normal_02_very_short,vi_normal_02,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,17,Biên nhận đã có,Biên nhận bạn yêu cầu đã được đính kèm để lưu hồ sơ.,"Biên nhận đã có
Biên nhận bạn yêu cầu đã được đính kèm để lưu hồ sơ.",d5a6cc08b2bc610579830b7754407077c3ea80484cbd5f07bf96a683022967e2,d5a6cc08b2bc610579830b7754407077c3ea80484cbd5f07bf96a683022967e2,normal,0.9078297941,"{""normal"": 0.907829794087879, ""phishing"": 0.0780859728555067, ""spam"": 0.014084233056614126}",vi,,,4,LOW,ALLOW,true,false,false,
challenge_vi_normal_02_short,vi_normal_02,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,61,Biên nhận đã có,"Biên nhận bạn yêu cầu đã được đính kèm để lưu hồ sơ. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa.","Biên nhận đã có
Biên nhận bạn yêu cầu đã được đính kèm để lưu hồ sơ. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa.",6a080386048b574d58bc1de62b6fbfc06a1ad628a33abcf2ffee38493a9e29fe,6a080386048b574d58bc1de62b6fbfc06a1ad628a33abcf2ffee38493a9e29fe,normal,0.8731583691,"{""normal"": 0.8731583691334597, ""phishing"": 0.12671056592608332, ""spam"": 0.00013106494045710528}",vi,credential_request,Vietnamese credential or identity-verification language was detected.,18,LOW,REVIEW,true,false,false,
challenge_vi_normal_02_normal_length,vi_normal_02,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,normal_length,176,Biên nhận đã có,"Biên nhận bạn yêu cầu đã được đính kèm để lưu hồ sơ. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm. Không cần truy cập trang đăng nhập bên ngoài và không có hạn chót ngoài lịch dự án thông thường. Người gửi cung cấp thông tin vận hành định kỳ để người nhận cập nhật hồ sơ của mình. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm.","Biên nhận đã có
Biên nhận bạn yêu cầu đã được đính kèm để lưu hồ sơ. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm. Không cần truy cập trang đăng nhập bên ngoài và không có hạn chót ngoài lịch dự án thông thường. Người gửi cung cấp thông tin vận hành định kỳ để người nhận cập nhật hồ sơ của mình. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa. Tài liệu được nhắc đến vẫn nằm ở vị trí chia sẻ thông thường của nhóm.",c14b270a8534d195a382495018d7062e02c8b420cc807712f4ec36e4ae1b4728,c14b270a8534d195a382495018d7062e02c8b420cc807712f4ec36e4ae1b4728,normal,0.5747301715,"{""normal"": 0.5747301714856515, ""phishing"": 0.4252640317030612, ""spam"": 5.796811287233027e-06}",vi,credential_request,Vietnamese credential or identity-verification language was detected.,31,MEDIUM,REVIEW,true,false,false,
challenge_vi_normal_03_very_short,vi_normal_03,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,very_short,16,Lịch học ngày mai,Buổi học ngày mai bắt đầu lúc chín giờ tại phòng B204.,"Lịch học ngày mai
Buổi học ngày mai bắt đầu lúc chín giờ tại phòng B204.",1f25126c13d1494135628e7514133e38e9a6ca152c4caf9bfbcb99a12dc0e51d,1f25126c13d1494135628e7514133e38e9a6ca152c4caf9bfbcb99a12dc0e51d,normal,0.9954405512,"{""normal"": 0.9954405512299989, ""phishing"": 5.529673736928968e-05, ""spam"": 0.004504152032631812}",vi,,,0,LOW,ALLOW,true,false,false,
challenge_vi_normal_03_short,vi_normal_03,normal,vi,controlled_short_form_challenge,synthetic_challenge,scenario_definition,short,60,Lịch học ngày mai,"Buổi học ngày mai bắt đầu lúc chín giờ tại phòng B204. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa.","Lịch học ngày mai
Buổi học ngày mai bắt đầu lúc chín giờ tại phòng B204. Tin nhắn này tiếp nối trao đổi hiện có và không yêu cầu mật khẩu, thanh toán hoặc thao tác tài khoản. Bạn có thể đọc khi thuận tiện và chỉ cần phản hồi nếu lịch hoặc thông tin thực tế cần chỉnh sửa.",0e076b18f53afc0194db4646a653c4ee0e34d5b264f74c3fbe10ae3a5bc6ab51,0e076b18f53afc0194db4646a653c4ee0e34d5b264f74c3fbe10ae3a5bc6ab51,normal,0.9939476476,"{""normal"": 0.9939476476498207, ""phishing"": 0.005923405816253404, ""spam"": 0.0001289465339259028}",vi,credential_request,Vietnamese credential or identity-verification language was detected.,12,LOW,REVIEW,true,false,false,
